net,length_um
m.u_conv3.u_weights._12696_,1.337445mm
net515,1.28687mm
net1456,1.28346mm
m.u_conv3.u_weights._00600_,1.24849mm
net689,1.230835mm
net731,1.21255mm
m.u_conv3.u_weights._06963_,1.209445mm
net724,1.20438mm
net644,1.20143mm
net860,1.1894mm
net1250,1.188235mm
m.embedding\[28\],1.173245mm
net998,1.16748mm
m.u_conv3.u_weights._08284_,1.14969mm
net1145,1.14367mm
net466,1.142545mm
net1545,1.14164mm
net1273,1.140985mm
net666,1.125535mm
net613,1.122765mm
m.embedding\[63\],1.11833mm
m.embedding\[39\],1.11589mm
net716,1.1152mm
net897,1.1117mm
net1323,1.105345mm
net1304,1.1024mm
net931,1.10214mm
net668,1.0941mm
net663,1.089565mm
m.u_conv3.u_weights._03541_,1.08869mm
m.u_conv3.input_buf\[58\],1.086495mm
net616,1.082145mm
net611,1.081355mm
net678,1.077705mm
m.u_conv3.u_weights._10020_,1.073755mm
net456,1.072485mm
net674,1.07016mm
net714,1.067065mm
net1080,1.065025mm
net470,1.06147mm
m.embedding\[44\],1.05855mm
net711,1.05819mm
net737,1.058135mm
net974,1.054085mm
net599,1.051765mm
m.u_conv3.u_weights._00534_,1.05015mm
m.u_conv3.u_weights._00831_,1.050015mm
net704,1.049625mm
net742,1.047895mm
net514,1.047355mm
net749,1.044795mm
net1213,1.04165mm
net654,1.041105mm
net499,1.03967mm
net638,1.03937mm
net910,1.037075mm
m.u_conv3.u_weights._09918_,1.037065mm
net623,1.03652mm
m.u_conv3.u_weights._05829_,1.036435mm
net1074,1.036045mm
net583,1.033785mm
net604,1.02839mm
net468,1.021515mm
net1107,1.01547mm
net510,1.014835mm
net848,1.01273mm
net1019,1.01231mm
m.u_conv3.u_weights._09920_,1.009865mm
net586,1.009175mm
net893,1.008475mm
m.u_conv3.u_weights._10532_,1.008175mm
m.u_conv3.u_weights._03618_,1.004395mm
net939,1.002875mm
net533,997.895µm
m.u_conv3.u_weights._06837_,997.385µm
m.u_conv3.u_weights._10377_,996.38µm
m.embedding\[8\],994.77µm
net460,993.605µm
net511,993.37µm
net473,993.245µm
net582,985.82µm
net558,984.2µm
net904,981.705µm
m.u_conv3.u_weights._03717_,977.82µm
net701,977.765µm
clk,976.68µm
net544,975.39µm
net673,973.315µm
m.u_conv3.u_weights._09975_,971.715µm
m.embedding\[61\],965.235µm
net547,962.465µm
net675,961.62µm
net855,957.6µm
net751,956.67µm
m.u_conv3.u_weights._10477_,956.045µm
net597,954.715µm
m.u_conv3.input_buf\[18\],953.91µm
net610,951.25µm
net478,950.06µm
net719,947.865µm
net507,945.64µm
net1462,945.485µm
m.u_conv3.u_weights._14409_,943.415µm
m.embedding\[52\],942.39µm
net1134,942.265µm
net588,942.055µm
net634,938.01µm
m.u_conv3.u_weights._06684_,937.775µm
m.embedding\[9\],936.575µm
m.embedding\[57\],936.09µm
net635,933.86µm
m.u_conv3.u_weights._05719_,932.5µm
net683,930.515µm
net602,927.36µm
net1482,925.275µm
m.u_conv3.u_weights._14234_,925.03µm
m.u_conv3.u_weights._04502_,923.785µm
net1199,919.695µm
net1553,919.275µm
net1335,916.395µm
net573,912.79µm
net593,912.36µm
net617,911.51µm
net545,909.07µm
net1347,908.075µm
net693,907.495µm
net568,905.43µm
net605,905.235µm
m.u_conv3.input_buf\[23\],900.81µm
net643,899.96µm
net584,897.565µm
net526,897.395µm
net494,894.33µm
net853,892.625µm
net608,889.145µm
net1162,886.93µm
net472,883.43µm
net528,881.265µm
net525,878.57µm
net660,878.05µm
net1166,872.51µm
net523,870.185µm
net694,870.165µm
m.u_conv3.input_buf\[12\],869.525µm
net577,869.055µm
m.u_conv3.u_weights._01434_,866.225µm
m.embedding\[33\],862.51µm
net871,862.475µm
net463,862.07µm
m.u_conv3.u_weights._06826_,860.63µm
net555,857.885µm
net198,853.635µm
net1205,852.735µm
net1,852.255µm
m.u_conv3.u_weights._06717_,848.705µm
net627,848.05µm
net743,846.505µm
m.u_conv3.u_weights._00788_,846.09µm
m.u_conv3.u_weights._08574_,845.82µm
m.u_conv3.u_weights._07188_,845.49µm
net1549,844.49µm
net560,844.46µm
net600,843.485µm
net841,843.435µm
net1120,840.065µm
clknet_0_clk_regs,838.21µm
net488,835.14µm
m.u_conv3.u_weights._05608_,834.365µm
m.u_conv3.input_buf\[27\],832.21µm
net909,831.11µm
net483,830.235µm
m.u_conv3.input_buf\[20\],829.88µm
net1138,829.27µm
net1121,827.685µm
net621,827.14µm
net676,826.24µm
m.u_conv3.input_buf\[37\],825.395µm
net495,823.565µm
net333,823.525µm
net486,821.345µm
net679,820.14µm
net913,819.97µm
net870,817.89µm
net1079,816.87µm
