Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_185_2673,VDD,Metal1,1286.1600,703.0800,1.200000
FILLER_185_2669,VDD,Metal1,1284.9710,703.6760,1.200000
FILLER_185_2662,VDD,Metal1,1282.3290,703.6780,1.200000
FILLER_185_2655,VDD,Metal1,1278.9690,703.6780,1.200000
FILLER_185_2648,VDD,Metal1,1275.6090,703.6780,1.200000
FILLER_185_2641,VDD,Metal1,1272.2490,703.6780,1.200000
FILLER_185_2634,VDD,Metal1,1268.8890,703.6780,1.200000
FILLER_185_2627,VDD,Metal1,1265.5290,703.6780,1.200000
FILLER_185_2620,VDD,Metal1,1262.1690,703.6780,1.200000
FILLER_185_2613,VDD,Metal1,1258.8090,703.6780,1.200000
FILLER_185_2606,VDD,Metal1,1255.4490,703.6780,1.200000
FILLER_185_2599,VDD,Metal1,1252.0890,703.6780,1.200000
FILLER_185_2592,VDD,Metal1,1248.7290,703.6780,1.200000
FILLER_185_2585,VDD,Metal1,1245.3690,703.6780,1.200000
FILLER_185_2578,VDD,Metal1,1242.0090,703.6780,1.200000
FILLER_185_2571,VDD,Metal1,1238.6490,703.6780,1.200000
FILLER_185_2564,VDD,Metal1,1235.2890,703.6780,1.200000
FILLER_185_2557,VDD,Metal1,1231.9290,703.6780,1.200000
FILLER_185_2550,VDD,Metal1,1228.5690,703.6780,1.200000
FILLER_185_2543,VDD,Metal1,1225.2090,703.6780,1.200000
FILLER_185_2536,VDD,Metal1,1221.8490,703.6780,1.200000
FILLER_185_2529,VDD,Metal1,1218.4890,703.6780,1.200000
FILLER_185_2522,VDD,Metal1,1215.1290,703.6780,1.200000
FILLER_185_2515,VDD,Metal1,1211.7690,703.6780,1.200000
FILLER_185_2508,VDD,Metal1,1208.4090,703.6780,1.200000
FILLER_185_2501,VDD,Metal1,1205.0490,703.6780,1.200000
FILLER_185_2494,VDD,Metal1,1201.6890,703.6780,1.200000
FILLER_185_2487,VDD,Metal1,1198.3290,703.6780,1.200000
FILLER_185_2480,VDD,Metal1,1194.9690,703.6780,1.200000
FILLER_185_2473,VDD,Metal1,1191.6090,703.6780,1.200000
FILLER_185_2466,VDD,Metal1,1188.2490,703.6780,1.200000
FILLER_185_2459,VDD,Metal1,1184.8890,703.6780,1.200000
FILLER_185_2452,VDD,Metal1,1181.5290,703.6780,1.200000
FILLER_185_2445,VDD,Metal1,1178.1690,703.6780,1.200000
FILLER_185_2438,VDD,Metal1,1174.8090,703.6780,1.200000
FILLER_185_2431,VDD,Metal1,1171.4490,703.6780,1.200000
FILLER_185_2424,VDD,Metal1,1168.0890,703.6780,1.200000
FILLER_185_2417,VDD,Metal1,1164.7290,703.6780,1.200000
FILLER_185_2410,VDD,Metal1,1161.3690,703.6780,1.200000
FILLER_185_2403,VDD,Metal1,1158.0090,703.6780,1.200000
FILLER_185_2396,VDD,Metal1,1154.6490,703.6780,1.200000
FILLER_185_2389,VDD,Metal1,1151.2890,703.6780,1.200000
FILLER_185_2382,VDD,Metal1,1147.9290,703.6780,1.200000
FILLER_185_2375,VDD,Metal1,1144.5690,703.6780,1.200000
FILLER_185_2368,VDD,Metal1,1141.2090,703.6780,1.200000
FILLER_185_2361,VDD,Metal1,1137.8490,703.6780,1.200000
FILLER_185_2354,VDD,Metal1,1134.4890,703.6780,1.200000
FILLER_185_2347,VDD,Metal1,1131.1290,703.6780,1.200000
FILLER_185_2340,VDD,Metal1,1127.7690,703.6780,1.200000
