Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,120
design__inferred_latch__count,0
design__instance__count,83135
design__instance__area,895301
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,71
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,1
power__internal__total,0.0005513769574463367
power__switching__total,0.00009852444782154635
power__leakage__total,0.000037511810660362244
power__total,0.0006874132086522877
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.3501723732316783
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3514474089003696
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.13146628602299115
timing__setup__ws__corner:nom_fast_1p32V_m40C,64.8662368845187
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.131466
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,95.057182
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,83
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,71
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,1
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3632887149490091
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.36326184755105334
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6716289936527438
timing__setup__ws__corner:nom_slow_1p08V_125C,43.544699745170504
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.671629
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,77.699219
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,71
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,1
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3598077215791502
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.36037976400876676
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3250099170674479
timing__setup__ws__corner:nom_typ_1p20V_25C,56.791401633293546
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.325010
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,92.552383
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,83
design__max_fanout_violation__count,71
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.3501723732316783
clock__skew__worst_setup,0.3514474089003696
timing__hold__ws,0.13146628602299115
timing__setup__ws,43.544699745170504
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.131466
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,77.699219
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1289.28 710.64
design__core__bbox,2.88 3.78 1286.4 706.86
design__io,45
design__die__area,916214
design__core__area,902417
design__instance__count__stdcell,25742
design__instance__area__stdcell,301051
design__instance__count__macros,1
design__instance__area__macros,17546.9
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.353049
design__instance__utilization__stdcell,0.34022
design__rows,255
design__rows:CoreSite,255
design__sites,483771
design__sites:CoreSite,483771
design__instance__count__class:macro,1
design__instance__area__class:macro,17546.9
design__instance__count__class:buffer,24
design__instance__area__class:buffer,174.182
design__instance__count__class:inverter,748
design__instance__area__class:inverter,4071.51
design__instance__count__class:sequential_cell,754
design__instance__area__class:sequential_cell,36937.6
design__instance__count__class:multi_input_combinational_cell,21336
design__instance__area__class:multi_input_combinational_cell,229879
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:STA-1140,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,4573.24
design__instance__displacement__mean,0.178
design__instance__displacement__max,13.603
route__wirelength__estimated,1.21853E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,2668
design__instance__area__class:timing_repair_buffer,27130.7
design__instance__count__class:clock_buffer,78
design__instance__area__class:clock_buffer,2013.98
design__instance__count__class:clock_inverter,30
design__instance__area__class:clock_inverter,277.603
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,849
global_route__vias,85
global_route__wirelength,1753466
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,77
design__instance__count__class:antenna_cell,104
design__instance__area__class:antenna_cell,566.093
route__net,25625
route__net__special,2
route__drc_errors__iter:0,170
route__wirelength__iter:0,1407242
route__drc_errors__iter:1,41
route__wirelength__iter:1,1407189
route__drc_errors__iter:2,38
route__wirelength__iter:2,1407182
route__drc_errors__iter:3,0
route__wirelength__iter:3,1407073
route__drc_errors__iter:4,9
route__wirelength__iter:4,1407150
route__drc_errors__iter:5,9
route__wirelength__iter:5,1407150
route__drc_errors,0
route__wirelength,1407073
route__vias,184742
route__vias__singlecut,184742
route__vias__multicut,0
route__drc_errors__iter:6,0
route__wirelength__iter:6,1407147
flow__warnings__count:DRT-0349,10
flow__warnings__count:DRT-0418,25
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,1337.44
design__instance__count__class:fill_cell,57392
design__instance__area__class:fill_cell,576703
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,48
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
